content,Quality,Service,Shipping,Packing
765,"Lúc gói hàng thêm vào miếng chống xóc đi Tiki, mở hàng thấy quyển truyện trơ trọi không có miếng bảo vệ nào thót tim lắm í, lần sau tui đặt mà tiki có miếng chống xóc thì tui vote lại 5 sao, còn giờ thì 3 sao thôi",,,,0
769,Sản phẩm tốt dùng ổn dễ lắp ghép mà giao hàng sơ sài quá . Hàng dễ bóp méo mà bọc mỗi màng bọc. Hok chấp nhận được,1,,,0
771,"mình không thích cách giao hàng lần này của Tiki,Đóng gói hộp đựng sách rách cả một lỗ to,nhìn thấu hết được bên trong đựng những quyển sách,nhìn không đẹp mắt mất hay",,,1,0
787,"Đóng gói ko có lót chống sốc sách, lúc mình nhận hộp còn lắc lắc được cơ. Mọi lần tiki đóng gói vận chuyển rất ổn nhưng lần này mình khá thất vọng, bị móp 1 góc hộp",,,,0
816,"Mình đánh giá về việc bọc sách / Không phải về nội dung:
Mình mua một bộ sách của Nhã Nam trên Tiki, mua sách bản quyền mà lại đóng gói hời hợt. Sách lậu người ta còn bọc bằng màng xốp hơi bóng khí. Vậy mà tiki giao hàng để bị rách hộp, móp méo. Sách thì bị bóp mép, rách bìa ngoài. Tiki và Nhã Nam nên xem lại cách gói hàng.",1,,,0
819,sách ko đc đóng gói cẩn thận,,,,0
822,"sách về khá nhanh, sau 24h đặt đã có hàng.  mình chỉ hơi thất vọng về gáy sách bị tróc một xíu,mấy trang đầu hơi không phẳng chút nhưng tổng quan thì ok.  đến ngọc còn có vết mà :v để 3 sao cho shop biết mà nâng cao chất lượng dịch vụ nhé",1,1,1,0
839,"Trời mưa mà gói ẩu rồi đó nhe🙈💔 mọi khi cũng gói ẩu mà pháp sư Tiki cẩn thận nên không sao, nhưng nay mưa nên truyện ẩm + gập trang truyện nên cho 2sì-ta thuoi nhê💀💔",,, ,0
867,"giao hàng trước dự kiến, sách nguyên seal k bị hỏng gì, nhưng mình k hài lòng cách đóng gói tiki, không bọc lót gì, trời mưa, rồi vận chuyển dễ méo hộp.",1,,1,0
870,Đóng gói không chỉnh chu  không bọc chống sốc bảo vệ sản phẩm dẫn đến bị cấn móp gây mất thẩm mỹ.,,,,0
879,Shop k gói sách kĩ càng. Mua lần nào sách về cũng bong tróc rồi móp góc. Chán thật,,,,0
894,"Tiki gói hàng quá chán luôn ạ huhu. Lúc ship đến cái hộp ướt lại còn rách nguyên 1 cạnh, không có bubble wrap, may sách chỉ móp 1 tí thôi nhưng vẫn quá thất vọng ạ",,,,0
995,nhận   hộp  hơi  mép  xíu  nhung  chất lượng sách  tuyệt  vời  tôi  rất  yêu quý,1,,,0
996,"Mặc dù nội dung khá hay, giao hàng nhanh nhưng sách k có bọc , bị bụi trầy xước rất nhiều, chữ in mờ
Mình khá thất vọng vì đợt sách này của tiki mong tiki sửa đổi nhiều hơn trong vc đóng gói",1,,,0
1051,"tiki lần này đóng gói tệ quá . mà cuốn này của mình ở ngay bên trên , ko có j bảo vệ nên bị gãy mất gãy sách . mà quyển này xuất bản 2018 nha nhg vẫn mới lám ạ . ns chung là nội dung cực kì hay luôn ấy",1,,,0
1061,Đóng gói hàng kém.   Ko có chống sốc va đập .  Đồ điện tủ,,,,0
1128,"quyển sách rất hay giúp chúng ta nhìn ra những lý do/ngụy biện của bản thân trước đây.  
Bản thân sách khong có vấn đề, nhưng cách gói hàng của Tiki chưa đủ tốt dù giao hàng siêu nhanh. Mình đặt cùng 2 quyển sách khác giày hơn nhưng gói sách chưa ki khiến cho quyển này bị xô và cong nghiêm trọng.",1,,1,0
1137,"giao nhanh, nhưng hàng đóng gói rất ẩu chỉ cho 5 quyển sách vào hộp rồi gói lại, mình là người quý sách lên rất k hài lòng !",,,1,0
1196,"(*) Đánh giá không tính điểm
Mặc dù đã quen với cách gói hàng của tiki nhưng mình vẫn rất phẫn nộ nha sách nó công hơn giới tính của t nữa còn bị defect gáy cmn đù khu mè khe gói hàng như cái lòn khon ❤🌹🌸🌻🌼🌼🌻🌹🌹🌻🌼🫶🫶🫶🫶🫶",,,,0
1224,"5* cho nội dung sách.
Còn mình cho 1* về sách mình nhận được:((
chưa có đơn nào sách mình mua bên tiki bị như này hết trơn nên thấy sách mình muốn khóc ghê😭😭 
Sách không có bọc, đóng gói không có miếng chống sốc, thùng sách móp méo nên mới bị cong bìa như này đây😭",1,,,0
1256,Tiki cần xem lại cách thức đóng gói sản phẩm để khách hàng yên tâm hơn.,,,,0
1266,"Đóng hàng không cẩn thận làm méo góc, bẩn, xước bìa sách. Đã phản hồi nhiều lần, mong nv tiki chú ý hơn",,,,0
1299,"Hàng rất tốt, giao hàng nhanh, sách không bị hư hại. Nhưng có một điểm trừ là đóng gói chưa tốt lắm, mong shop khắc phục!",1,1,1,0
1314,"Sách nhận rất nhanh. Nhưng mình không hài lòng ở chỗ là Tiki không bộc sách thêm xốp bong bóng, nên gáy sách bị móp do vận chuyển. Đối với mình điều này rất khó chịu, cũng may bị móp không nhiều. Hy vọng Tiki có thể khắc phục vấn đề này trong đóng gói sản phẩm cho khách hàng.",,1,1,0
1395,"đóng gói ẩu, hộp nhìn móp méo. sách thì hơi bị bụi bám. mua hàng Tiki thường xuyên nhưng 2 lần k hài lòng mong Tiki cố gắng khắc phục.",,1,,0
1426,Sản phẩm chưa được đóng gói kỹ càng nên khi nhận được sản phẩm bị cấn móp 1 góc. Tuy không ảnh hưởng kết cấu tủ rack nhưng không còn cái nhìn vừa mắt.,,,,0
1434,móp méo hộp hết. mong sẽ khắc phục lần sau,,,1,0
1455,"Cực kì thất vọng vì đợt giao hàng này. Sách như sách cũ, hàng chuyển từ HCM ra tận Quảng Ninh mà ko có bọc gói cẩn thận. Bìa sách có nếp gấp gập như đã dùng rồi, sách thì móp méo 🤔 bìa sách bị cọ sát nhìn rất bẩn. Chưa bao giờ phải phản hồi tiêu cực như thế này về tiki 👎🏻",,,,0
1466,"Đóng gói phải nói là siêu tệ, chỉ lót miếng giấy sơ xài phần đầu sách, còn lại không có lớp chống sốc nào luôn.",,,,0
1469,"Hàng về rất nhanh đặt hôm trước hôm sau đã về rồi ạ, nhưng mà chắc do nhanh nên cũng không có màng chống sốc hay bọc bảo vệ sách luôn nên gáy sách có hơi bị nhăn 1 chút.",,,1,0
1484,Giao hàng khá ẩu không có bất cứ vật gì để kê lót và thùng hàng như sắp bể ra khi giao tới đổi lại thì giao hàng khá nhanh,,,1,0
1533,Gói sách vô cùng ẩu . chưa bao giờ tôi cảm thấy thất vọng về sách trên Tiki đến như vậy . sách gói hộp giấy ít ra cũng nên bọc lớp cover nilon bên ngoài chứ ạ,,,,0
1539,shop giao đúng ngày nhưng mình đánh giá shop gói hàng thật sự tệ không thèm gói nổi 1 cái bọc giấy và sách bị dập bên góc như hình. Mình thông cảm cho bên shop vì đợt sale 50% nên mong shop hãy cải thiện hơn về vấn đề này.,,,1,0
1583,Giao nhanh nhưng khâu đóng gói chưa được kĩ làm bị móp SP,,,1,0
1594,Không hài lòng lắm vì đóng gói sản phẩm lọt thỏm xô lệch trong hộp. Trước Tiki còn chèn xốp các kiểu mà có vẻ như giờ không còn chăm chút như xưa. Sản phẩm còn bị móp 1 góc nữa chứ.,,,,0
1605,không có bọc chống sốccc.,,,,0
1630,"Đóng gói giao hàng không cẩn thận. Lúc vận chuyển thùng sách đã rách rất nặng để lộ cả sách bên trong. Sách bên trong cũng không được bọc xốp bảo vệ. Rất may là sách không có hư hại gì khi nhận hàng._x000D_
_x000D_
Mong lần sau Tiki đóng gói sách cẩn thận hơn.",,,,0
1665,"đóng gói sơ sài . chỉ bỏ mỗi sách với hộp giấy . lúc nhận hộp giấy gần nát , sắp bung hết ra ngoài . giao trễ hẹn . sách khá bụi nhìn như sách cũ . chụp lên thấy màu tươi v chứ ở ngoài nhìn sách cũ . này do đóng gói hàng ko cẩn thận ko bọc chống sốc",1,,,0
1698,"Mình mua Tiki cũng hơn 200 cuốn sách, nhưng…. Tiki đóng hàng tệ quá, cách đây 3-4 năm đóng cẩn thận, hộp giấy dày, vừa với khổ sách, chống sốc tốt, 1 năm trở lại đây không còn trân trọng sách như ngày nào, 1 cái hộp giấy, thả hết sách khách đặt vào, bỏ thêm cho 1 tờ giấy xi vò lên trên, rồi gửi hàng, quá trình vận chuyển sách va đập, tất cả mọi cuốn nhận được đều hư gáy, quăn bìa, xước bìa,… chưa nói có đơn góc hộp rách tươm, sách trồi cả ra, cứ thế này sao ủng hộ tiếp được, nhìn những cuốn sách mà xót xa!",,,,0
1729,"Đợi bơm máy về chắc sẽ ngon hơn, hút tốt hơn như này. Bơm tay nên mệt quá. Test thử 1 cái thấy cũng oke
Shop giao túi bị rách. Shop dán lại bằng băng dính. Mình chưa kiểm tra xem có túi bên trong bị thủng hay ko? Cảm thấy ko đc vui lắm.",1,,,0
1772,Quá thất vọng vì khâu đóng gói của shop này. Ko có một bao gì bọc lại. Sơ sài. Kiện hàng mình móp méo hết. Dù chưa đọc nội dung nhưng ban đầu đã gâu thất vọng khi nhận hàng như vậy thì mình cho 1 sao. Sẽ không bao giờ đặt ở đây nữa.,,,,0
1853,"Giao hàng nhanh . Còn lại đóng gói chưa cẩn thận .
Nội dung sách thì rất hay",1,,1,0
1866,"hộp yếu, bỏ giày vô nhiều đôi cao gót hay boost không vừa",,,,0
1870,"đóng gói hơi xuề xòa ạ, không có xốp hay gì lót bảo hộ cả nên sách hơi bị móp, tróc cạnh",,,,0
1871,Đóng gói không cẩn thận. Kính bị vỡ.,,,,0
1893,"Tiki giao hàng trước dự kiến, tuy nhiên đóng gói hàng không tốt đối với sản phẩm đắt tiền. Chỉ có 2 miếng giấy lót trên dưới rất ẩu, mà không có xốp cố định sản phẩm để tránh va đập. Nilon bọc ngoài điện thoại cũng không phải là loại nilon hạn chế va đập, bọc vô cùng sơ sài. Nói chung khá thất vọng về cách đóng gói sản phẩm có giá trị như vậy của Tiki.",,,1,0
1906,hàng giao nhanh đóng gói chả có chống sốc làm móp hết cả sách,,,1,0
1926,"Sản phẩm đóng gói rất tệ, hộp móp, nát. Dây cáp đi kèm theo trong hộp cũng bị gập trông rất xấu và nhìn không chuyên nghiệp. Được cái giá rẻ, thiết lập nhanh.",1,,,0
1972,"(*) Đánh giá không tính điểm
Sách mới, giấy in tốt nhưng có vẻ mùa sale phải đóng gói nhanh nên bao bookcare bị hở, bao cũng rộng hơn khổ sách nữa.",1,,,0
2014,"chán kinh khủng với cách gói hàng của tiki, không bọc chống xóc 1 tí, gói thì hở, nhìn thấy cả sách, gáy sách nát và xấu, lần sau mình sẽ tìm nơi khác để đặt, thất vọng quá",,,,0
2030,"(*) Đánh giá không tính điểm
Đóng gói ẩu quá nhận hàng vỡ cả vỏ họp",,,,0
2061,"Máy dùng tốt, pin lâu.
Nhưng TikiNow đóng gói rất ẩu. Hộp wifi để không trong hộp giấy carton ko có chèn đệm. Xóc lên xóc xuống.
Mật khẩu wifi lúc mở lên ko còn là mật khẩu mặc định của máy như trong giấy hướng dẫn.",,,,0
2080,1* được mình cho 0* quá tệ truyện giao không chống sốc giao thiếu poster bên tiki phải đền bù poster và voucher,,,,0
2095,"Giao hàng nhanh,sách ko có seal bên ngoài, hình thức tạm chấp nhận",,,1,0
2098,"Đóng gói không cẩn thận , lúc giao đến hộp còn bị rách , thành ra sách bị móp=))",,,,0
2175,Gửi sách không bọc bóng. Không bảo vệ sách.,,,,0
2179,"Hộp cũ, đóng gói mốp méo. Hộp không có seal.",,,,0
2185,"Nhìn thì bọc cẩn thận nhưng mang về mở ra mới biết giấy bóng đã rách gần hết, ở hộp có bị buộc bằng dây quá chặt nên hộp bị rách các đường rất mất thẩm mỹ, sách ở bên trong hơi bẩn phần viền
Rất khó chịu vì sách là mặt hàng đặc biệt mang ý nghĩa tinh thần, nhất là sản phẩm box set để làm ky niệm như thế này mà bảo quản quá chán
Ảnh là sau khi bọc lại bằng giấy bóng của mình sau khi tháo giấy bóng rách ra vứt đi nên hơi khó nhìn",,,,0
2209,"Mình không hiểu Tiki dạo này cắt giảm chi phí hay sao nhưng lần nào giao sách cũng chỉ vứt vào hộp, không chèn hay bọc bất cứ thứ gì. Nhận sách móp méo + bụi bẩn + dính keo rất xót. Nội dung sách thì không có gì phải bàn, mình luôn tin tưởng các đầu sách của Nhã Nam",1,,,0
2216,"Đóng gói giao hàng không cẩn thận. Lúc vận chuyển thùng sách đã rách rất nặng để lộ cả sách bên trong. Sách bên trong cũng không được bọc xốp bảo vệ. Rất may là sách không có hư hại gì khi nhận hàng._x000D_
_x000D_
Mong lần sau Tiki đóng gói sách cẩn thận hơn.",,,,0
2229,"Bên ngoài cảnh báo hàng thì dễ vỡ mà nhìn thùng hàng móp méo từ bên ngoài vào bên trong. Hàng mua trả tiền chứ phải hàng tặng đâu mà mà nhìn thấy thảm quá, buồn ...",,,,0
2230,"Sách được gói cẩn thận, bìa sách cứng cáp chắc chắn nhưng chát lượng giấy in chưa thật sự tốt với mức giá 299k",1,,,0
2266,"Đặt hàng 1/8/2021
Nhận hàng 25/9/2021
Dịch bệnh giản cách nên giao hàng chậm thì mình thông cảm.
Nhưng nhận được thùng hàng đã bị rách đến mức ""hả họng"" ra hết.
Sách là mặt hàng dễ bị ướt hư hỏng mà gói hàng rất cẩu thả, không chống nước và chồng sốc.
May là lấy ra chỉ bị móp góc nhẹ.
Mình tin dùng mà mua hàng Tiki cả trăm triệu rồi, nhưng đây là lần đầu mình complain về khâu đóng gói và kho hàng.",,,,0
2296,"Đơn hàng hơn 4 trieu mà shop đóng gói sơ sài , không lót mút chống sốc, hàng điện tử dễ vỡ! Mong Tiki để ý khâu đóng gói nhé! Tôi có gửi kèm hình ảnh hộp hàng khi tôi nhận dc từ shipper",,,,0
2325,"Đóng gói hời hợt, rách vỏ, rách luôn kìa cứng",,,,0
2344,"đóng gói k thể tệ hơn, ba đơn sách của mình đều phải đánh giá thấp vì khoản đóng gói, đến lúc nhận sách mà hộp móp méo, thậm chí còn bị bung băng dính như kiểu bị mở hàng rồi. nhưng mình đoán là do đóng gói cẩu thả, vận chuyển bị bung ra, may mà sách không ảnh hưởng. nếu gặp trời mua xác định hỏng",,,,0
2352,"(*) Đánh giá không tính điểm
Thất vọng về khâu đóng gói vô cùng, đóng gói cẩu thả làm df sách",,,,0
2354,"Truyện đẹp, thơm, hay huhu. Mình xem anime xong mê quá nên phải mua manga về đọc. Mua 3 cuốn thì cuốn tập 2 bị rách bọc nilong và xước mất bìa truyện, khá bực mình. Hy vọng Tiki sẽ chăm chút hơn cho sản phẩm.",,,,0
2378,Sản phẩm chất lượng. Tôi sẽ đánh giá 5* nếu như nhà sách không bọc thêm một lớp lót ở ngoài vì nó khá lẵng phí tài nguyên gây ô nhiễm môi trường. Sách có một lớp bìa là đủ r nhé,1,,,0
2385,Lúc mình mở ra thì thật sự rất sốc khi thấy bookmark nằm ở ngoài như vậy. Dù bookmark ra đúng nhân vật mình thích nhất nhưng nhìn như vậy thật sự xót. Mong tiki giải thích việc gói hàng như vậy cho mình,,,,0
2402,"Bình thường sách mình vẫn hay ra nhà sách mua hơn để có thể lựa sách trong tình trạng tốt nhất nhưng do dịch nên đây là lần đầu tiên mình mua sách tại Tiki, và mình cảm thấy khá thất vọng cho lần trải nghiệm này. Đóng gói ko chắc chắn, thùng bị bóp méo dẫn đến sách bên trong cũng bị nhăn. Mình thật sự cảm thấy rất buồn và không hài lòng khi nhìn sách bị tình trạng như vậy, mua 5 cuốn thì đã bị hết 4 cuốn rồi, điều này làm ảnh hưởng khá nhiều đến trải nghiệm mua sắm lần đầu tiên tại đây, đặc biệt là với những người yêu sách như mình. Mong Tiki có thể tìm phương án tốt hơn trong việc bảo quản sản phẩm trong quá trình vận chuyển để có thể giao đến tay người nhận trong tình trạng nguyên vẹn.",,,,0
2420,Đóng gói không cẩn thận. Làm vỡ mất 1 miếng,,,,0
2429,Cứ đóng gói sách thế này mình thấy cuốn sách đã mất đi 50% giá trị,,,,0
2443,"hộp bị rách , hong hiểu đóng gói kiểu gì",,,,0
2444,"Giao hàng nhanh, đầy đủ. Tuy nhiên khi đóng gói ko để xốp bảo vệ, sách bị hơi móp 1 góc, viền bị nhăn. Điều này làm giảm đi chất lượng sách và trải nghiệm của người dùng.",,,1,0
2469,"đóng gói ko cẩn thận, tại sao lúc đóng gói ko bọc sách lại hay chèn giấy vào cho sách ko bị ảnh hưởng trong qtrinh vận chuyển, chỉ bỏ đúng 2 quyển vào hộp, hộp thì méo mó, sách thì bị trầy, móp, lần này mua sách thật thất vọng, đc cái shipper nhiệt tình",,,1,0
2504,Giao hàng nhanh. Đóng gói sản phẩm không chắc chắn không có cái gì để chống sốc hết làm mẻ 1 ít chảo. Vì mình không biết sau 48h không giải quyết nữa nên giờ không được hỗ trợ đổi trả gì hết. Chảo chưa xài nên chưa biết chất lượng như thế nào. Lần đầu trải nghiệm mua hàng tiki mà thất vọng quá,,,1,0
2531,"tiki trading đóng gói quá tệ, thật sự. Đối với 1 đứa yêu sách như mình thì nhìn sách bị df cực kì khí chịu. Lần đầu mình thấy cách gói đơn sách như vậy luôn á. Chỉ 1 lớp nilong mỏng dính xong bỏ vào hộp r quăng thêm 3 miếng nilong k biết có tác dụng gì???!? Hãy xem lại cách gói hàng của mình và gói hàng 1 cách có tâm với ạ. Bực mình thật sự đấy",,,,0
2542,"Lần đầu thấy shop bọc túi bóng nữa, mặc dù giao hàng bị méo một góc và đến khi đọc khá bất ngờ về lỗi gõ máy trang 72 dòng 9",,,,0
2544,đóng gói xấu quéeeeeeeeee,,,,0
2549,"Lần trước quyển Here U Are 2 được giao thì không bọc seal, chỉ có mỗi cái hộp và một miếng giấy đựng để cho đầy hộp.  Vì sách và bookmark không sao nên mình tạm bỏ qua nhưng lần này vẫn vậy. Đây là đơn hàng từ Hà Nội giao về Củ Chi mà? Sao ẩu tả vậy? Thật sự không tin luôn ấy, dù hàng chỉ bị móp một xíu ở phần góc nhưng vẫn không thể nào tha thứ được cả",,,,0
2572,Gáy sách bị móp và bìa hơi dơ. Mong lần sau Tiki sẽ chú ý hơn,,,,0
2577,"sản phẩm bị méo móc nhẹ ! đặt 2 sp đều bị 2 cái. có video mở hộp, nhưng up lên không đc",,,,0
2591,"nhận đc hàng sách ko có bọc bóng gì cả, chỉ là một hộp cát tông mỏng và đống sách chồng nhau bên trong, lần đầu đặt sách ở shop này mà ko có thiện cảm gì sẽ ko bh ghé lại , làm viẹc ko có tâm gì.",,,,0
2593,"Ko bàn về nội dung vì mình chưa đọc.
Nhưng về cách đóng gói sp của tiki thì mình xin cạn lời. vận chuyển đường dài nhưng ko hề có 1 miếng chống sốc nào. cạnh sách bị dập như này nhìn xem có xót ko??? ko biết sở thích đóng gói của tiki ntn hay do mình xui??? làm ơn thay đổi cách đóng gói dùm ạ. cảm ơn",,,,0
2594,sách học ko cẩn thận chưa nhận được hàng đã bị rách,,,,0
2608,tạm được. đầy đủ món như hình nhưng đóng gói sơ sài quá,,,,0
2616,"Hàng test ok nhưng Tiki gói hàng sơ sài quá. Làm ơn cho bên gói hàng học cách gói ổ cứng lại đi, chỉ lấy giấy bì mềm gói lại, ko lèn cho chặt nữa chứ, bên vận chuyển mà ẩu chút xíu là ổ cứng hỏng ngay",1,,,0
2619,"Lần đầu tiên nhận được đơn hàng trong tình trạng tồi như vậy! Sách gói bằng giấy bóng, không có hộp. Gói rất cẩu thả, quăng cả mép. Thậm chí lấy băng keo dán lên bìa sách để cố định. Đơn hàng này bán bởi Tiki Trading. Cùng đơn này tôi cũng mua một sách từ Fahasa thì được gói rất cẩn thận. Thất vọng! Tôi muốn hoàn trả đơn hàng!",,,,0
2646,Hàng giao móp méo vì đóng gói ẩu tả,,,,0
2662,"Lắp vào máy nhận, chạy ổn. Tuy nhiên rất không hài lòng về cách đóng gói, hộp lớn hàng nhỏ nhưng không có lót đệm. Đã có nhiều phản ánh mà shop không cải thiện nên chỉ cho 3 sao thôi.",1,,,0
2669,"Hàng đóng gói ko kĩ lắm, mở bao vàng ra mực rơi vãi từ hộp mực khắp bên trong, mình phải lau kĩ rồi lắp vào máy, lắp vào máy khởi động lâu hơn một chút, sau đó in thử thì thấy mực đập, đều, chính xác, ko lem. Ban đầu dùng mình thấy ok, giá cả hợp túi tiền, về lâu về dài chưa biết nhưng hiện tại thì tạm ổn với giá tiền",,,,0
