content,Quality,Service,Shipping,Packing
862,"Tình hình dịch bệnh nên mình phải ở lại công trình, chọn màn này vì nó tiện lợi và Mình chọn tikinow vì chỗ mình ở rất muỗi, rõ ràng ghi giao đơn hàng vào trưa ngày 6/7 nhưng phải đến đầu giờ tối ngày 7/7 mình mới nhận được. Hàng thì dùng tốt, tiện lợi. MÌnh vote 4 sao cho hàng nhưng 1 sao cho giao hàng.",1,,0,
885,"Thời gian giao hàng dự kiến thứ 3, tuy nhiên đến thứ 6 mới nhận đc hàng. Chậm 3 ngày. Lâu quá trời",,,0,
912,"Sách cũng bình thường, giao hàng lâu",1,,0,
920,giao hàng chậm trễ không muốn nhận chút nào,,,0,
931,"Cay cú nên nói rõ cho hết bực vì đơn hàng này._x000D_
Đăt hàng của Shop này rất uy tín và trách nhiệm, Shop nhiệt tình liên lạc và gửi hàng nhanh nhưng bị ô vận chuyển của Tiki phá hoại và lươn lẹo, xong rồi đến NV hỗ trợ chát cũng chỉ nói như Bot, ko lắng nghe đề nghị của khách. kể chi tiết thì dài, tóm lại m ko thích Tiki mấy v.đề._x000D_
1. Đơn hàng thanh toán trước chắc chắn bên Vận chuyển Tiki sẽ cho khách leo cây, vậy nên lần tới nhận hàng giao tiền cho có quyền, cái này m ngu thì thôi m đã ngoan rồi._x000D_
2. Bên vận chuyển lươn lẹo om hàng của khách tại kho nhận 3 ngày, hứa hẹn 3 lần ko giao nổi (có thể bên VC nó ghét Shop, nó muốn đơn hàng quay về kho bán)._x000D_
3. Câp nhật lịch trình đơn hàng lươn leo, để cho khách bất lợi. 18h53 ngày 10/9 giao ko thành công mà cập nhật 8h02 ngày 11/9 hàng mới đến kho. (Vậy là đi giao hàng trước khi hàng về à?)._x000D_
4. NV giao hàng cài bẫy nháy máy ngoài giờ giao hàng rồi đổ lỗi ko giao đc cho khách, mặc dù khách gọi cả chục lần lại nhưng NV giao hàng ko thèm nghe máy. Tổng cộng 3 lần giao ko thanh công nó ghi lỗi khách hàng (mặc dù khách rất muốn nhận hàng). Ae cần cẩn thận, nó nháy máy xong nó chụp lại làm bằng chứng là khách ko nghe máy._x000D_
5. Hỗ trợ chát với khách chỉ đc 1 chiều khách hỏi, còn xử lý đc hay ko thì ko báo lại (rõ ràng m có để SDT và Gmail), nói chuyện như robot. Hứa hẹn chung chung, làm cho khách hiểu nhầm là vấn đề đc xử lý._x000D_
6. Đến lúc m nhắn mail đầy đủ nội dung và bằng chứng thì Tiki mới chịu quan tâm đến vấn đề của khách (rõ ràng cả hệ thống Tiki có làm tốt nhưng 1 nv nó lừa khách hàng thì cũng vứt)._x000D_
7. Cho dù cả hệ thống Tiki làm tốt nhưng lẫn 1 NV lươn lẹo thì kết quả cũng hỏng hết._x000D_
Vẫn còn may là hàng chất lượng ok trong tầm giá 1,6tr. Qua đó m tặng Shop 5 sao và Dịch vụ Tiki 1 sao an ủi. Cảm ơn ai đó đã đọc hết. Tôi thề: ko nói sai bất kỳ câu nào.",,1,0,
952,SG bien hoà mà giao hàng quá lâu 2 tuần,,,0,
993,giao hàng hơi lâu kể từ lúc booking,1,,0,
1042,Không hài lòng vì mua sách có 49k mà tiền vận chuyển cả 44k. Trong khi tôi mua rất nhiều sách thì chia lẻ ra để ship và tiền ship lên rất cao,,,0,
1069,nhân viên giao hàng có thái độ phục vụ không tốt,,,0,
1092,"giao hàng cực chậm, trễ 1 tuần",,,0,
1218,"Sách có 80k, phí ship 44k. Quá ko hợp lý. Sẽ ko bao giờ mua sách kiểu này nữa",,,0,
1238,Giao hàng quá tệ làm hỏng hết cả sách,,,0,
1248,Mình thật sự thất vọng với lần mua này vì lúc shipper giao cho mình thì sách không có seal bọc bên ngoài cũng như sách có dấu hiệu đã bị đọc và đóng gói với cái bọc nhựa rất sơ sài. Mình nghĩ sau này mình sẽ mua chỗ khác mà không phải của Alpha book nữa,,,0,
1278,Thái độ nhân viên giao hàng không chấp nhận được,,,0,
1295,"Giao hàng chậm quá, cần cải thiện",,,0,
1306,"giao hàng quá chậm, ghi là giao trước 13h ngày 20/07, lúc 10h30 ngày 20/7 để trạng thái là đang vận chuyển, tới 12h30 ngày 22/07 mới nhận được hàng.",,,0,
1320,"shipper tự kí tên của mình mà ko dc phép. hộp vận chuyển bị hư hại, ảnh hưởng tới sách.",,,0,
1335,gia hàng rất lâu. ship hẹn quài k chịu giao,,,0,
1377,Không vừa hàng trả tiền trước ship cả 2 tuần chưa tới không hài lòng 😥,,,0,
1378,"Sản phẩm đẹp, chắc chắn, dễ sử dụng, cắm điện và dây mạng vào là sử dụng luôn, không cần cấu hình. Với giá tiền như vậy là quá tuyệt rồi.

Tuy nhiên sản phẩm giao hàng lâu hơn thông báo ban đầu đến 5 ngày nhưng cũng không có ai liên lạc đơn sẽ giao muộn. Có thể là do giãn cách xã hội nên giao chậm nhưng sẽ tốt hơn cho khách hàng nếu Tiki liên lạc/nhắn tin trên app thông báo đơn hàng giao chậm hơn dự kiến.",1,,0,
1385,"Cảm ơn shop vì đã dán hàng dễ vỡ lên hàng, nhưng mình thực sự vẫn không vui về khâu giao hàng, hàng giao thì lâu, trễ mất 2 ngày, hộp thì móp méo rách cả ra, bên trong cũng bị móp.",,1,0,
1411,"Trong 4 món mà Tôi mua hôm nay, Tôi không phàn nàn gì về chất lượng, dù sách cuốn bọc cuốn không.
Tuy nhiên, cái cách mà nhân viên giao nhận khiến tôi khá thất vọng về Tiki lần này. NV giao đến chung cư không báo trước và tỏ thái độ bất cần, lẽ ra Tôi nên được hỏi có nhà không để nhận hàng hoặc được hỗ trợ khi ở gần đó, nhưng tất cả những gì tôi thấy là sự cáu gắt của bên GH.",2024-01-01 00:00:00,,0,
1415,"Đơn vị giao hàng quá ẩu, hộp bên ngoài gãy nát, bìa sách bên trong bị rách, gãy góc. Chưa bàn đến nội dung nhưng nhận được quyển sách mới như thế này thật không ưng tí nào. Mong Tiki xem xét giải quyết hoặc cải thiện cho những lần giao hàng sau.",,1,0,
1479,giao hàng giao háng vô trách nhiệm. hết mẹ nó đơn vị vận chuyển rồi giao mấy thằng bưu điện ném hàng rách bươm như này.,,,0,
1486,"Vận chuyển quá tệ, hộp móp méo nát bươm, sách quăn góc nhăn bìa, cầm cuốn sách lên thiệt muốn rớt nước mắt",,,0,
1494,"Giao hàng quá tệ bọc thủng 2 đầu, móp hết sách, những ng yêu sách thực sự nhìn rất xót",,,0,
1632,"Mua hàng từ hôm 11/11 rồi nhưng bây giờ mới đánh giá. Cho 1 sao tại vì thời gian giao hàng lâu, đợi cả tuần mới nhận được. Tưởng là gửi hàng từ miền nam ra miền bắc thường lâu như vậy tại vì cũng đã từng mua đồng hồ của tgdd và cũng mất 1 tuần mới nhận được, mua thuốc của Long Châu vận chuyển từ nam ra bắc cũng lâu như vậy. Ai ngờ dạo này đặt 3 đơn bên *** cũng là vận chuyển từ nam ra bắc mà 2 đơn 3 ngày đã nhận được, 1 đơn thì 4 ngày. Cảm giác mất cả tuần trời ngóng món hàng mình mua cực kỳ 😡",,,0,
1760,Thời gian giao không đúng hẹn,,,0,
1812,Tiki chia đơn hàng tôi đặt thành nhiều đơn giao nhỏ lẻ khiến tôi mất nhiều thời gian nhận hàng & tốn phí ship.,,1,0,
1830,"Chưa nhận được sản phẩm nhưng app đã báo nhận, đặt giao 2h nhận trước 3h chiều, 2h55 shipper báo 15’ nữa giao nhưng giờ 40’ rồi chưa thấy shipper đâu mà đã tự hoàn thành đơn hàng",,,0,
1851,"(*) Đánh giá không tính điểm
Giao 2h mà thành 2 ngày, rất phiền vì phải canh giờ.",,,0,
1917,"Đề nghị bộ phận vận chuyển lưu ý vấn đề khi giao hàng sản phẩm đến tay khách hàng phải bảo toàn được sản phẩm được nguyên vẹn, không bị móp mó. Quyển sách khi giao đến tay tôi bị móp đầu góc của quyển sách, điều này làm tôi thất vọng và giảm sự hứng thú khi trải nghiệm.",,,0,
1977,ngoại hình tạm ổn. ship hàng chậm,1,,0,
1981,"Thái độ nhân viên giao hàng cáu gắt. Mình có miss đt khoảng 5p gọi lại. Thì bị a giao hàng tl cáu gắt. Mình cũng thông cảm khi a giao hàng giữa trời nắng. Vấn đề chính khi mình nhận hàng mình hỏi có ck đc ko tại mình ko đủ tiền mặt. Thì thái độ đó gắt gỏng hơn và hỏi mình “Rồi lỡ thẻ bị nuốt rồi rút tiền làm sao?” _x000D_
 Từ đầu đến cuối thì mình đánh giá tác phong làm việc của shipper này TỆ. Là một ng làm trong nghành dịch vụ mà thái độ vs kh như vậy thì mình ko đồng ý. _x000D_
_x000D_
Sản phầm thì tốt, đóng gói cẩn thận, sách nguyên vẹn.",1,,0,1
2026,"Tạm ổn, nhưng thấy bị bóc hộp ra, k biết shop mở ra kiểm tra haybthees nào",1,,0,
2038,"Shipper muốn làm ông nội người ta,",,,0,
2097,"Sách thì mình đang đọc nhưng mình đặt 2 đơn hàng trên tiki trả trước qua thẻ, cả 2 đều ko giao đúng hẹn còn note trên hệ thống là ko liên hệ dc chủ đơn trong khi chả ai liên hệ giao hàng 😏",,,0,
2122,Giao hàng quá trễ...,,,0,
2130,đặt 2 tháng mới nhận được hàng,,,0,
2184,Hàng giao ok. Tuy nhiên không biết trong quá trình vận chuyển hay do shop mà mình có 1 hộp bị bể sẵn. Có hình đính kèm.,1,,0,
2196,Giao hàng chậm trễ so với ban đầu,,,0,
2231,"giao hàng rất chán. đặt rất lâu rùi mới thấy có hàng. báo giao mượn 1-3 ngày mà tận mấy ngày sau mới thấy giao.
chất lượng keo thì từ trước có tiếng rùi.",1,,0,
2245,chất lượng m chưa biết nhưng ship siêu chậm,,,0,
2274,Hàng giao trễ hơn thông báo cả tuần lễ. Hộp hàng gửi đến nơi thì te tua. Tiki nên xem lại về nhà vận chuyển Best.,,,0,
2326,"Shiper ko gọi mà giao người nhận hộ thu tiền, tôi hủy đơn này, đặt gộp 2 đơn kia, xử lý giúp tôi ?",,1,0,
2328,"Tôi mua một lần 9 quyển, nhưng quyển này đã bị dập hết mấy trang sách do đóng gói và vận chuyển k cẩn thận. Thật thất vọng",,,0,
2330,giao muộn không đúng hạn trong đơn,,,0,
2380,"Tiền ship quá cao, ship hàng thì chậm",,,0,
2386,"Không thể tin nổi thời gian gh từ 2/8 đến nay 14 không nhận được, chưa thấy bên nào delay lâu như thế này, lại còn tikitrading giao hàng, bá đạo.",,,0,
2433,giáo sách rất trễ... Hiện tại vẫn chưa nhận đc sách,,,0,
2466,"sản phẩm chất lượng, giá tốt, bên giao hàng quá tệ !!!",1,,0,
2543,"Chất lượng sách thì ok, thái độ của shiper thì ko chấp nhận được, giao hàng mà nói chuyện còn hơn cả bố mình nc với mình
Shipper thái độ quá kém, trừ 3 *",1,,0,
2613,"Thùng hàng vận chuyển không kỹ lưỡng, tới tay khách hàng móp méo, rách và lủng một lỗ khá to. Tưởng hộp mực hư rồi, may mà shop dán túi nylon chống sốc, hú hồn.",,,0,1
2687,"Hộp mực giao quá chậm, vượt quá sự kiên nhẫn của tôi.",,,0,
2699,"Giao hàng rất lâu so với trung bình, hàng hóa vận chuyển không cẩn thận, thùng bị móp, đèn bị xước...",,,0,
2717,Hàng đẹp. Giao hàng đúng 1 tuần.,1,,0,
2739,giao hàng chậm trễ quá thời gian giao hàng,,,0,
2770,giao hàng sai tg đã báo và lòng vòng rất là thông cảm nếu bận bay chưa điều chuyển hàng về kịp cứ thông báo vs khách hàng lý do chính đáng co f này k giao chưa có sự thống nhất vs khách hàng mà tự dời ngày giao lại đến khi kiện cáo ms chịu giao ma vẫn trễ jo,,,0,
2812,"mua hàng của tiki trading.
hàng giao quá muộn so với dự kiến, lắp máy xong ngồi chờ mãi k thấy dây đâu lại phải chạy đi mua cục thu wifi dùng tạm, tính ra phát sinh hơn lít.",,,0,
2831,không nói sản phẩm. nói về chất lượng dịch vụ của tiki. đã báo shipper không nhận hàng mà vẫn báo giao hàng thành công ( do đơn hàng đã thanh toán trước). kiếu nại tiki cả tháng nay không chút phản hồi giải quyết gì cả. Nói chung dịch vụ kém shipper thì tồi.,,,0,
2879,"Hàng nhận đã lâu (từ 20/2/19)  nhưng chưa dùng nên chưa bóc hộp, nay mới bóc thì chảo méo mó, bẹp như hàng bị rơi. 
Không bao giờ mua hàng tại Tiki nữa!",,,0,
2951,shipper ép tôi phải nhận hàng khi tôi đang ở quê dẫn đến mất hàng,,,0,
2967,"Bo mạch tốt, giao hàng chậm",1,,0,
2998,"giao hàng siêu chậm luôn, ngày dự kiến giao hàng là 16/01 nh",,,0,
3009,"sản phẩm tôi nghĩ nó sẽ tốt ,nhưng riêng việc hổ trợ khách hàng  và bên phía vận chuyển có thể nói là 1 điều tồi tệ
giao hàng tiêu chuẩn vào thứ 2. mà đợi mãi không thấy trong khi đã thanh toán qua mạng rồi nhưng phải đợi sản phẩm dài cổ , trong khi đó cũng có người bạn đặt chung 1 cái bàn trong 1 web và sản phẩm thì giao trước còn tôi đặt trước phải chờ sau 5 -6 ngày thật sự quá thất vọng và khi gọi điện tư vấn thì lại bảo bên nhà cung cấp ngoài hà nội bla bla nên vào trễ trong khi đặt chung 1 cái sản phẩm trong tiki .",,,0,
3041,"Giao hàng siêu chậm, đặt 4 quyển từ Hà Nội về Hải Phòng thì bị tách đơn, giao 2 quyển mất cả tuần, 2 quyển còn lại vẫn đang xử lý",,,0,
3072,"Sách mà Tiki vận chuyển như thế này, làm gãy gáy sách. Nôn nhận được sách có chữ ký sống của Bác Ánh mà Tiki làm mình downmood quá",,,0,
3096,"giao hàng quá trễ, chờ đợi 1 tuần đến ngày giao dự kiến thì báo giao trễ hơn 1 tuần nữa, oke, fine????",,,0,
3126,mua giao hàng nhanh 2 h mà mất 1 ngày mới giao sách ko một lời gọi điện thông báo sự châm trễ phí tiền giao hàng nhanh,,,0,
3222,"Đặt hàng thanh toán trước_x000D_
Đến tận gần 2 tháng sau mới nhận, mà phải cò cưa đi gửi mail 2-3 lần cho bên support chứ không nó lơ luôn",,,0,
3248,"Ủa mà dòng này không có sẵn sạc kèm theo trong hộp đựng máy ạ ?_x000D_
Giao hàng trễ nữa_x000D_
_x000D_
2 sao",,,0,
3257,"ti ki giao hàng quá lâu , để ý đơn hàng vải trăm giáo rất lâu",,,0,
3259,Giao hàng quá lâu,,,0,
3267,"Gởi hàng kg đúng địa chỉ, báo cáo cho bên tiki thì bảo rằng đã giao thành công???? Là sao????  Làm ăn kiểu gì vậy",,,0,
3269,"VẬN CHUYỂN QUÁ TỆ
Hộp bị rách, méo mó. 
Đề nghị TiKi xem lại vận chuyển.",,,0,
3276,"Sách thì mình tìm hiểu đọc rất có ích mà khi giao thì thùng gói sách bị móp méo rồi giấy rách, sách có vài quyển bị móp cái lề may là sách không sao",,,0,
3318,"(*) Đánh giá không tính điểm
Hàng điện tử mà hộp bị nứt rách thế này. Cần chú ý khâu vận chuyển ghi chú rõ ràng để bảo vệ sản phẩm.",,,0,
3321,"Em vote 1 sao tại bà shipper cộc quá em chịu hết nổi rồi. Nghĩ sao em điện em hỏi chị ở tới chừng nào để em biết cái bả nói 'đơn của em 0đ mà em để chị chờ mấy tiếng em biết k', làm em tưởng đơn của em là cuối cùng rồi cái em thấy có lỗi em bay ra, cái em thấy bả còn một núi đơn luôn z đó. Thay vì hỏi mấy giờ thì trả lời mấy giờ để ngta sắp xếp ngta ra chứ sao mà nói chuyện móc méo khách chi vậy? Còn hàng thì còn nguyên ạ.",,,0,
3324,"shipper Tiki lại nhà không gọi, đơn 134k đưa 205k mới thối có 60k thì chạy đi luôn, chưa tính kịp thiếu 10k nữa, như ăn cướp vậy",,,0,
3343,Dịch vụ giao hàng quá tệ. Hẹn giao từ 5h xong báo 5h30 qua. Rồi tới gần 6h vẫn chưa qua. Mình gọi thì mới e đang qua. chưa tới nơi thì đã  gọi mình xuống. Xuống đứng Đợi rất lâu. Gọi lại thì bảo e nhờ bạn giao qua vẫn chưa giao qua à chị. Xong rồi bảo đợi lần nữa. Sau đó hơn 10p. Có bạn mặc áo tiki qua. Vừa chạy xe vừa với tay đưa đồ ra chứ cũng kg đứng lại giao được đàng hoàng. Yêu cầu tiki coi lại về vấn đề giao hàng.,,,0,
3355,Người mua chưa hề nhận được sách,,,0,
3428,"Mình chọn giao hàng thông thường chỉ có 14k ( tiêu chuẩn giao hàng trong 2 3 ngày)
vậy mà hôm sau mình nhận hàng mà mình phải trả ship đến 39k (tiêu chuẩn giao trong 2 - 3 giờ) 
tiki làm ăn gì kỳ vậy?",,,0,
3450,"1 sao, nói chung hàng tiki giao hàng phí qá cao. nhân viên phục vụ ko hài lòng, ko quay lai mua hang tiki",,,0,
3477,"hàng chính hãng mỗi tội tiki giờ giao hàng siêu lâu 3 tháng sau mới giao quá thất vọng, gọi tổng đài không ai bắt máy, chat nhân viên hỗ trợ thì cho khách chờ dài cổ không thấy phản hồi gì. chán không chờ thì nv mới xuất hiện xong lặn mất tiêu. chất lượng tiki ngày càng đi xuống ! sản phẩm chính hãng xứng đáng 5 sao, còn tiki chăm sóc khách hàng 1 sao cũng không xứng đáng",1,,0,
3480,chất lượng ok. giao hàng chậm hơn dự kiến,1,,0,
3507,"Chưa nhận được hàng, do shiper giao trễ , shiper tự động cập nhật giao hàng thành công, shiper đang giũ kiện hàng và hẹn 6/3 giao lại vào bữa sáng ***",,,0,
3519,"Mua trước dịch, hết dịch mới đến , làm mua 2 cái",,,0,
3542,"Hộp bị móp 1 góc do vận chuyển. 
Phải mở và gập máy bằng 2 tay, ko đc bằng 1 tay như quảng cáo, vì bản lề khá cứng",,,0,
3555,Trừ 2 sao do thái độ shipper rất khó chịu. Mình đưa tiền mặt thì bảo k có tiền trả lại bắt mình phải chuyển khoản. Nếu mình có tiền trong tk thì mình đã chuyển ngay từ đầu rồi ạ. Rất k hài lòng với thái độ của shipper.,,,0,
3582,"đặt hàng cả tháng đến khi giao thì không có, vì giao chung với hàng khác nên khi mở ra thì thiếu nhưng vẫn tính tiền. cần giải quyết gấp.",,,0,
3635,"1 sao, nói chung hàng tiki giao hàng phí qá cao. nhân viên phục vụ ko hài lòng, ko quay lai mua hang tiki",,,0,
3641,Tệ tách đơn tính tiền nhiều lần,,,0,
3673,"1 sao, nói chung hàng tiki giao hàng phí qá cao. nhân viên phục vụ ko hài lòng, ko quay lai mua hang tiki",,,0,
3701,"Tiki giao hàng không đúng hẹn. 
Vì mình muốn mua nhanh nên đã mua thêm gói TikiNow mất 99k cuộc đời. Sau đó, mình đặt thì Tiki hẹn sẽ giao trong hôm nay (30/6), mãi đến 18 giờ 38 cùng ngày tình trạng đơn mới chuyển qua “Đang vận chuyển”, trong khi tình trạng đơn hẹn là “Giao trong hôm nay (30/6). Vì địa chỉ mình đặt là ở văn phòng công ty, 7h tối mình phải xách xe chạy từ Thủ Đức lên Q1 đứng đợi, đợi đến 8h30 tối đành phải ra về. Mãi đến 8h sáng nay (01/07) mới bắt đầu vận chuyển giao hàng. Nếu vậy Tiki nên thông báo hay có một động thái xin lỗi hay chuyển thông báo để mình biết là không nhận được trong ngày. Bắt mình đợi hơn một ngày, chạy xe 7h tối lên rồi 8h30 tối về giữa trăm công ngàn việc, rồi mất 99k cuộc đời mua TikiNow chỉ mong giao nhanh trong ngày. Và mình bị sếp khiển trách :( Sản phẩm dùng tốt, nhưng cách tương tác với khách hàng để thông báo khi nào nhận hàng lại chưa ổn. Hy vọng Tiki khắc phục hạn chế này.",,,0,
3711,"giao quá chậm 26 ngày mới tới , đã mua mới rồi nhưng vì dịch nên thông cảm shop và thương shiper nên nhận nữa",,,0,
3723,"Thời gian dự kiến giao trên web là thứ 4 mà đến tối thứ 5 mới nhận được điện thoại của shipper hẹn giao vào thứ 6. Rồi tối thứ 6 lại gọi hẹn giao vào sáng thứ 7, nhưng đến chiều thứ 7 vẫn không thấy giao, không liên lạc lại. Đến giờ vẫn chưa nhận được hàng nhưng trạng thái đơn hàng đã chuyển thành ""Giao thành công"". Rất thất vọng với Tiki.",,,0,
3777,Không hiểu giao hang thế nào là “ thành côn”?Mình đi vắng maf vẫn giao hàng đc mới kỳ chư?,,,0,
3786,Giao quá lâu. Chờ giao ngán sò lun,,,0,
3829,Giao hàng lâu zzzzzzzzzzzzzzzzz,,,0,
3842,Thu phí ship lẻ khia chia đơn hàng,,,0,
3847,"Thời gian giao hàng lâu, sản phẩm bị dính nước mưa, nhân viên giao hàng chưa có trách nhiệm",,,0,
3919,Giao hành trễ mấy ngày dù chỉ giao trong TPHCM. Không đúng hẹn làm khách hàng không sắp xếp thời gian để nhận hàng được. Càng ngày càng thất vọng về dịch vụ của Tiki,,,0,
