Unnamed: 0,content,Quality,Service,Shipping,Packing
38,"In màu bị khá xấu mờ, đục với ám vàng khá nhiều. In bằng wifi qua app brother trên điện thoại thì 1 lần chỉ được 50 trang, lâu lâu in bị dính giấy, mực cũng hao nhiều. Máy in hơi lỏng lẻo không chắc chắn :(((
Còn độ hoàn thiện cao máy đẹp dễ dùng đa chức năng.
3*",0,,,
39,bkav chỉ hỗ trợ khách hàng trong giờ hành chính. khách mua bản quyền vẫn không có bất kỳ hỗ trợ gì thêm.,,0,,
40,Đóng gói tệ nên mình cho 2 sao,,,,0
41,"Chưa đánh giá gì hết tính out ra chụp hình thì đã tự nhảy 5 sao, ghét quá sửa lại 1 sao.",,0,,
42,"miếng dán quá kém, được 2 hôm bong luôn",0,,,
43,"hàng có hộp, đóng gói ok. nhưng hàng không dùng được mặc dù đã thử cả hai loại pin và đã sạc pin qua đêm.",0,,,1
44,"đổi sản phẩm, kéo dài thời gian, ram ko chạy đc mình ko thể sử dụng laptop",0,0,,
45,"lắp vào bật latop lúc lên lúc không lên, thay cái bàn phím cũ vào lên luôn. hàng kém chất lượng không tương thích.",0,,,
46,Mua loại 1 tia (pointer) sao lại giao hàng nhiều tia như trong hình?,,0,,
47,Đợt dịch này không thể đòi hỏi giao hàng nhanh được nhưng không ngờ kho hàng mình đặt lần này lại từ tp HCM. Giao chậm hơn dự kiến 1 ngày thành 8 ngày và hộp thì móp méo. sách dập cong mép thậm chí rách gáy luôn.   Dù thông cảm dịch khoản giao hàng chậm nhưng đóng gói nát thì k chấp nhận được,,,0,
48,"đã nhận được bộ phát sóng, tuy nhiên trong giới thiệu có ghi chuyển đổi từ mạng không dây sang mạng có dây nhưng trong cài đặt lại không có chế độ này, cần tiki hỗ trợ sớm hoặc đổi sản phẩm có chế độ này. Cảm ơn mình xin phép để tạm 2 sao.",,0,,
49,Ko cách âm lắm 🥲 nhưng cho ủng hộ 3 sao,0,,,
50,thề chứ mong đợi sách về bao nhiêu xong nhìn quả đóng gói chán luôn =)))))))))))))))),,,,0
51,Cách viết rất chán đọc cực mệt,0,,,
52,"Binh lọc nước bị nứt vỡ, hàng thương hiệu Đức sao chất lượng kém quá. Bảo hành sao shop?",0,,,
53,Đóng gói cẩu thả. Bán truyện thì nên có tâm một chút.,0,0,,
54,"Hàng kém chất lượng, không treo được.",0,,,
55,80W mà không sáng bằng cái đèn downlight 9W,0,,,
56,"Roăng cao su ở nắp bình rất kém, lần đầu tiên tháo ra đã bị rách roăng cao su rồi (giăng cao su như làm bằng cao su tái sinh không có độ đàn hồi)",0,,,
57,"Sách bìa cứng mà k chèn gì cả, chỉ có mỗi cái hộp các tông quá rộng so với cuốn sách, may mà k bị bẹp nhiều, tiki nên coi trọng sản phẩm cũng là coi trọng khách hàng hơn nữa",0,0,,
58,"Hàng không tốt, hàng có xài rồi,tem bị bóc, lấy đại ủng hộ tiki",0,,,
59,"Bộ lau nhà ok, ko hỏng gì hết, nhưng mà chắc ko phải Sunhouse thật vì bộ cũ của mình mua ở Sunhouse dầy dặn hơn rất nhiều. Thôi rẻ hơn chính hãng 1 nửa thì chất lượng thấp hơn đúng rồi.",0,,,
60,"Tôi đã mua sách ở Tiki rất nhiều lần rồi nhưng đây là lần đầu tiên mà Tiki khiến tôi không hài lòng. Đơn hàng tôi đặt 3 cuốn đều có sử dụng bookcare mà Tiki chỉ bọc cho tôi 2 cuốn, chừa lại 1 cuốn để làm gì????? Trong khi đó Tiki trừ của tôi 3 cái bookcare. Tại sao Tiki có thể mắc một lỗi sơ đẳng như vậy. Trước khi nhân viên đóng gói không có kiểm tra lại đơn hàng sao??? Tôi mua sách ở trên Tiki vì sách có thể được bọc bookcare để tôi bảo quản sách vậy mà giờ lại không có bọc!!!!",,0,,0
61,"Tiki trading bán hàng lỗi kỹ thuật. Tui mở ra bị nứt ngăn đựng bình lọc màu xanh. Chăm sóc khách hàng tiki cho rằng LỖI NGOẠI QUAN, và chỉ cho đổi trong 48h, quá thời gian đó không cho đổi trả. Lỗi ngoại quan thì tui dùng được, còn lỗi kỹ thuật thì tui không dùng được. Đừng mất tiền ngu.",0,0,,
62,"Nhìn quển sách như sách cũ vậy á, mình biết là sale nhưng mà đừng đến mức vậy chứ",0,,,
63,cáp sạc pin không vào điện,0,,,
64,Chưa đọc mà Tiki cứ xuất hiện yêu cầu mình đánh giá sách,,0,,
65,Quá re re re ree reeeeeeeeee,1,,,
66,"quá tệ, 
kết nối qua chậm",0,,,
67,TiKi giao hàng không đúng như đơn đặt hàng rồi. Đề nghị đổi trả lại đúng sản phẩm như giới thiệu.,,0,,
68,Nhận hàng xong mình k biết làm gì với nó vì không có ốc vít mà cũng k biết liên hệ ai vì lỡ xé cái đơn hàng khi mở hàng thôi thì tốn thêm 1 lần tiền kêu thợ mộc giúp. Lần sau k dám mua đồ online nữa 😭😭😭,0,,,
69,Mình mua về chỉ mới cắm điện thôi để bắt sóng cục repeater mà k thấy hiển thị sóng. Mong shop xem lại để em đổi trả hàng ạ. Sản phẫm lỗi k dùng được,0,,,
70,"Máy xài được có 3 lần thì bị chập mạch, nổ bụp rồi tắt cả nguồn điện của nhà. Đề nghị bộ phận bảo hành liên hệ để kiểm tra sản phẩm.",0,1,,
71,Hay nên mua giá ca phù hợp,1,,,
72,"Chất lượng đi đôi giá tiền! Ghế dùng tạm ổn, nhưng sau gần 2 tháng dùng thì phần lưới bọc ghế dễ bị tróc! Nhận xét chung: tạm được nếu không quá mong đợi vào một chiếc ghế xuất sắc giá 1-2 triệu! 😅",1,,,
73,"Giao hàng khá nhanh, mk ko ngờ là sách nhẹ thế luôn",1,,1,
74,"Đặt giao hàng nhanh NOW, trả thêm phí để giao cho kịp.
vậy mà trễ tới 4,5 ngày mới giao tới tay, không 1 lời thông báo, email về thông tin giao trễ.
Trả thêm để giao nhanh mà nhận hàng còn trễ hơn dv giao tiêu chuẩn miễn phí. 
Phải chat rồi gọi tổng đài thì 2 hôm sau mới giao. Giao trễ xong gửi mail xin lỗi là xong. 
Đã vậy phí ship NOW còn NUỐT luôn.",,,0,
75,"cho hỏi shop có thể đổi trả được không ạ? vì mua về máy laptop của mình không khớp với máy.
Không biết là mình có thể được hỗ trợ đổi trả lại sản phẩm khác không ạ?
p/s: thanh ram 8 nhân trên là của mình còn thanh ram dưới là của shop ạ.",,1,,
76,"Sản phẩm nhận được cắm sạc không lên, mình liên hệ shop xử lý rất chậm",0,,,
77,Dùng đc 3 lần thì khoá bị hỏng. Shop nên bọc cả combo vào 1 túi nilon thay vì mỗi 1 túi lưới lại đc bọc bằng 1 túi nilon tạo nhiều rác thải ko cần thiết.,0,,,
78,"Mình mua bộ đèn sao, bộ trăng sao sao gửi  mình 2 bộ sao vậy  shop?, bộ trăng sao mắc hơn bộ sao ko nhiều mà",0,,,
79,"Có hơi trầy với xước 1 xíu nhưng bù lại giao nhanh nên không sao_x000D_
Nội dung khá cuốn và sách khá cùi:))) có những cuốn mình mua được vài năm rồi nhưng nó không dễ xúc như vậy:)))) ban đầu không để ý đến lúc mở cuốn Muối ra thấy xúc nên mới để ý",,,,
80,Gãy hết 1 chân và bị tét ra. Khá buồn.,,,,
81,"Sản phẩm đóng gói sơ sài , lắc được trong hộp, hdd chắc lúc vận chuyển cũng lắc được vài trăm lần
Ngày nhận mưa to nên hộp có ướt nhẹ (chắc là không phải do nước làm ổ có vấn đề)
Check ngoài hình thì thây có cấn nhẹ 1 góc như ảnh
Nhưng có vẻ là ổ cứng không hoạt động
Cố gắng tìm cách Initialize disk để phân vùng ổ nhưng không được
Vui lòng liên hệ để hỗ trọ hoặc đổi sản phẩm khác
Thanks TIkicare",0,1,0,0
82,rất không hài lòng. hộp mực hư cứ quay 1 vòng là bị sọc ngang (drum hư thì bị sọc dọc) mà không cho trả hàng. tôi có 1 hộp mực khác tôi đã test đi test lại nhiều lần. kĩ thuật viên chỉ kiểm tra chứ không thử trên máy in. giải quyết không thoả đáng. rất bực mình,0,0,,
83,Hàng kích hoạt bảo hành nhưng ko báo KH  làm ăn láo toét. Tiki càng ngày càng tệ,0,0,,
84,Sách dinh vết bẩn lớn ở phía ngoài,0,,,
85,"em trao trẻ trái tim 
trẻ trao em chiếc bookmark lỗi 
😭😭😭",0,,,
86,"Mua được 10 ngày thì bị lỗi không kết nối được, làm lại nhiều lần cũng không được (Đèn vàng nháy liên tục mà không tắt).",0,,,
87,Nhìn khá mờ mình gần như ko thấy gì,0,,,
88,"Sách rất hay, dù mới đọc giữ sách kĩ nhưng mà dễ bị bung, rớt trang, quá thất vọng",1,,,
89,"Góp ý thẳng mặt ông bà nào đứng đầu những khâu sau:
- Sách Tiki giao thì luôn bị dơ bẩn phần ruột sách, cái này thì chắc ai cũng bị không cần phải nói rồi nhỉ?
- Đóng gói không bao giờ có chống sốc hay có bất kỳ một phương pháp bảo vệ sách nào cả! Gáy sách hoặc phần bìa sách luôn bị cấn/móp/trầy/xướt!

Ẩu tả, thiếu ý thức, vô trách nhiệm trong khâu kiểm tra chất lượng sản phẩm và đóng gói sản phẩm trước khi vận chuyển. SLOGAN MỚI CỦA TIKI HAY GÌ VẬY?",0,0,,0
90,"Sách bìa bị bóp, dơ, bị dính mực, giấy dính nhiều. Mình đã phản hồi lên Tiki rồi, up hình lên để thấy hiện trạng sách. Mua Thiên Thần và Ác Quỷ và cuốn này cùng lúc, mà cuốn này kho Sài Gòn, cuốn kia kho Cần Thơ mà sao Sài Gòn xấu quá, Cần Thơ nhìn đẹp mà không thấy bị gì....",0,,,
91,Mình muốn trả hàng. Đèn giao cho mình hỏng rồi không dùng đuoc,0,1,,
92,"cây lau rất yếu, khóa cài lỏng lẻo, dễ gãy",0,,,
93,Vui lòng liên hệ lại để gửi mình VAT,,1,,
94,"Sản phẩm lỗi không dùng được, người bán không trả lời tin nhắn",0,0,,
95,"Mình kiểm tra và muốn mua M7350, nhưng lại không có Tiki NOW. Mình vừa nhận M7200 chưa kịp mở hộp thì 5 phút sau M7350 lại ship Tiki NOW. Mình có gọi hỗ trợ nhờ đổi hàng để đặt lại con mình muốn thì Tiki bảo con này không được đổi trả. 

1. Tại sao chỉ trong 15-20 phút lại có sự thay đổi hàng ship Tiki NOW?
2. Khách yêu cầu trả hàng để mua lại sản phẩm mong muốn lại không được hỗ trợ? 

Trên trang sản phẩm không có chỗ nào nói là không được đổi trả cả, phải gọi điện hỏi mới biết. Sản phẩm mình từng mua con tương tự trước đó rồi nên mình cũng khá hài lòng với sản phẩm, nhưng dịch vụ của Tiki thì phải xem lại.",,0,,
96,Chết dưới 9 điểm pixel thì đừng mong đổi trả nhé các bố mẹ. Cạch mặt tiki,,0,,
97,Quá thất vọng. Chờ đợi bao nhiêu ngày nhận dc hàng xài kg dc,0,,,
98,"Vô cùng khó chịu với cách làm bookcover của happy life._x000D_
Sao ko in luôn lên bìa cứng như cuốn Ký Ức Vĩnh Cữu ?_x000D_
Cover để riêng làm tôi phải cắt ra dán vào sách chứ để cover cầm vô cùng khó chịu_x000D_
Quá tệ và đã nhận xét ko dưới 5 lần _x000D_
Vô cùng tệ hại về trải nghiệm ban đầu",0,,,
99,"shopp gói hàng không cẩn thận , không quà , shipper lần 1 rất tệ , lần 2 đỡ hơn nhưng cảm giác không tôn trọng khách hàng lắm",,0,0,0
100,"Truyện đẹp nhưng tiki đóng gói hàng chán quá, box của mình bị móp hết, lần trc mua đã móp rồi lần này còn móp hơn",1,,,0
101,"Giao hàng chậm,sản phẩm không đúng 30watt,bóng đèn không được sáng lắm so với cùng sản phẩm cùng thương hiệu.",0,,0,
102,"Tôi đã nhận bộ máy khoan. Máy hoạt động tốt. Tuy nhiên, mũi khoan bê tông/ gạch yếu, không như mong đợi. _x000D_
_x000D_
Cái cờ lê - mỏ lết, bị bung hoàn toàn (xem hình đính kèm). Vui lòng đổi giúp tôi cái cờ lê - mỏ lết khác nhé. _x000D_
_x000D_
Xin cảm ơn.",1,1,,
103,Mua về mấy ngày hỏng. Dùng chán ko tả nổi,0,,,
104,"Gối foam nên có tính đàn hồi. Mình là nam, cao 1m7 khi nằm thấy cũng bình thường. Sau 1 đêm mình ngủ thì sáng dậy mình đau vùng cổ vai gáy mà trước giờ mình nằm gối cũ vẫn không hề bị đau. Mình đã quay lại sử dụng cái gối cũ vì sản phẩm này khui ra rồi thì không được đổi trả dù khi ngủ mình đã bọc lại gối kĩ càng. 

Khuyên các bạn hạn chế mua gối trên mạng mà hãy ra tận cửa hàng lựa cái gối ưng ý.",0,,,
105,"rất không hài lòng, chép phim từ laptop sang với lỗ usb 2.0, lúc đầu được khoảng 15MB, được một lúc giảm còn khoảng 5MB, thật sự rất tệ. Có đổi hàng được không Shop",0,1,,
106,Mã mà được tặng kèm sách để học phát âm theo k dùng được trên mt . Mình k đx dùng đt nên coi như chả đc nhận cách phát âm luôn,0,,,
107,tốc độ đọc khá chậm . chất liệu nhựa cầm khá nhẹ độ bền ko rõ nhưng ssd mà tốc độ đọc 150.200mb,0,,,
108,"Mình mua cuốn này do được các tiktoker recommended nhưng thật sự thì chất lượng của cuốn sách này nếu nói công tâm thì sẽ thích hợp cho những bạn mới làm quen với thể loại tội phạm chứ nếu là những người đã từng đọc hoặc là có tâm lí vững hơn thì cuốn này theo cảm quan của mình thì có phần hơi nhẹ đô nên đọc sẽ khá chán, đây là ý kiến chủ quan của mình nhưng mình cũng mong ý kiến của mình sẽ giúp được nhiều người không phải tốn tiền vào một cuốn sách mà chất lượng lại không được như ý",1,,,
109,giao hàng thiếu cái này mà tính tiền luôn,,0,,
110,bàn phím không sử dụng được. có nút bấm dc nút không,0,,,
111,"giao hàng đúng thời gian, đủ số lượng gỗ ốc. tuy nhiên nên bắt ốc chỗ nối giữa 2 ngăn (không biết do quên hay chủ thiết kệ vậy). 2 ngăn rời nhau nên chưa chắc lắm khi lắp ghép vào",0,,,
112,Mình bỏ gì lên cân cũng không được hết. Mong tiki chỏ mình đổi hoặc trả hàng.,0,1,,
113,"Trước tiên chưa bàn đến nội dung sách, mình thật sự thất vọng với cách gói hàng bên tiki, đã mấy lần đơn hàng mình đặt bị đóng gói sơ sài, móp méo, cong góc sách, trông rất cũ nhưng mình đã bỏ qua, nhưng đến lần này, mình đặt sách cho bạn mình, chất lượng sách còn tệ hơn những lần trước nữa. Thật sự thất vọng bên khâu đóng gói của tiki . Nội dung sách thì mình chưa đọc, mình thấy nhiều người đề cử quyển này lắm nên mình mua đọc thử.",1,,,0
114,Nên cân nhắc khi mua sản phẩm,1,,,
115,"hix quảng cáo bên ngoài thì để bình 1,5 lít . ko xem kỹ đặt luôn đến lúc giao thay 1,2l vào xem lại đơn đặt mới biết mình bị lừa. làm ăn gì kỳ thế này.",,0,,
116,Ship rất tệ 1 sao còn nói năng thô tục với khác hàng dù khách hàng chỉ mới là học sinh,,,0,
117,"Sách đẹp nha mọi người, nội dung thì đọc bao cuốn, mình có bản thường rồi nhưng thấy bản cứng cũng phải mua về để sưu tầm, chỉ có điều lúc nhận thì sách hơi bị móp, nhìn gói hàng chán thật sự, Tiki không lót miếng chống sốc gì hết, chỉ nhét đại cuốn sách vô,",1,,,0
118,"1/ Hàng giao đến chưa sử dụng đã bị bung ra như hình ảnh kèm theo. Show những cây đinh ra luôn
2/ Một số thanh gỗ quên bào. nên bi trầy, tưa gỗ
3/ Lắp ráp quá đau tay.
Không hài lòng",0,,,
119,"chưa nhận được hóa đơn, vui lòng liên hệ lại tôi",1,,,
120,"Trang sách mờ mịt, mực và nét không đều, tệ hơn cả bản photocopy. Sau này phải tránh NXB này ra.",0,,,
121,Phía dưới chỗ khoanh tròn là phần tính năng đặc biệt nhưng điện thoại lại k có? Cũng không có ứng dụng kép luôn. Đây là lỗi điện thoại thế nào đây tiki? Cần hỗ trợ,0,1,,
122,"giao hàng gì mà quá cũ, như bỏ ngoài trời lâu năm. mua hàng mới chứ ai mua hàng cũ. mà có giao hàng thì nên làm sao cho nó như mới.",0,,,
123,Bắt Bluetooth quá yếu . Kết nối với tai nghe Bluetooth cách có 1 m mà không bắt được.lúc được lúc mất. Chất lượng quá kém,0,,,
124,khăn sấu ko như ý. màu nhợt nhạt,0,,,
125,"Sách được in rỏ ràng trên giấy chất lượng tốt, bìa cũng rất tốt. Nhưng dịch không hay, tôi đọc rất khó khăn.  Thể loại này rất khó dịch. Trong hình kèm theo có một đoạn, các bạn có thể tham khảo.",1,,,
126,"Máy sài ok,mới mua bị lổi pin lúc sạc đầy lúc ko.gọi bên tiki thu hồi đem về kiểm tra,mà quy đổi bảo hành 24 tháng 1 đổi 1 là sao.máy của tôi mới mua đc 2 tháng từ lúc thu về tới giờ đã hơn 10 ngày gọi lên hỏi thì nói đang bên bộ phận bảo hành,máy của tôi còn trong thời gian 1 đổi 1 mà sao nói đang kiểm tra để bảo hành là sao",1,1,,
127,k nên mua,0,,,
128,"Mua pin cúc áo gắn đồng hồ và đèn led shop giao pin này ko biết sài cho cái gì luôn ,mặc dù giá tiền ko lớn cho đổi lại dc ko?",,0,,
129,"nội dung chẳng có gì đáng đọc. cứ ngỡ là mua một cuốn sách hài hước nào ngờ nó giống tập hợp mấy câu status đăng chơi trên facebook.
cho 2 sao vì đóng gói cẩn thận.",0,,,1
130,Đúng là quyển sách buồn cười. Buồn cười vì viết vậy mà cũng là sách,0,,,
131,"giao hàng nhanh nhưng shiper kì quá, đóng hộp ko có chống sốc nên mép sách bị tróc 1 tí.",,,1,0
132,"Chất lượng sách thì mình ko nói đến
Nhưng gói hàng khi mình nhận được thì rách hết 2 phần góc hộp, sách bên trong bị rách phần gáy sách, mong Tiki gói cẩn thận hơn",1,,,0
133,"Vấn đề bị sọc toàn bộ, đổi trả lại như thế nào",0,1,,
134,"Xin lỗi sản phẩm của bạn không có kí hiệu, thông tin nào trên sản phẩm. Không chấp nhận được.",0,,,
135,"Đặt máy xp 350 giao xp365, sp giao nhầm giá rẻ hơn sp đặt mua, treo đầu dê bán thịt chó, hình như   cũng có nhiều khách bị giao sai giống mình, cái shop làm ăn lừa đảo chứ ko phải do sai sót nhầm lẫn, tiki nên xét duyệt shop kĩ càng hơn !!!",,0,,
136,Hàng về ngâm tại bưu cục! Đã trễ mà còn bị ngâm thêm 7 ngày! Mình phải tới bưu cục lấy! Thì thấy quản lý hàng hoá quăng tùm lum! Có trày sướt! Chất lượng đóng gói tệ! Chưa Trải nghiệm sản phẩm!,,,0,
137,"Tích cực: sản phầm nhìn khá đẹp mắt, cảm giác chắc chắn_x000D_
Tiêu cực:_x000D_
1. Mua hộp cơm kèm túi nhưng shop giao thiếu, phản ánh thì đc giao lại nhưng k thấy xin lỗi_x000D_
2. Hộp đựng hấp nó lên khá nhanh, nhưng làm nóng bát và đồ ăn thì cần đợi khoảng 15-20p_x000D_
3. Hộp inox bám muội đen, dù đã rửa sạch bằng nước rửa bát, tráng nước sôi, nhưng vẫn bám muội. Báo với shop thì có vẻ cũng nhiều ng bị rồi, nhưng không có cảnh báo, shop bảo phải dùng lực mạnh chà sẽ hết, mình chọn cách không sử dụng lại nữa vì sợ bám vào đồ ăn ảnh hưởng sức khỏe",0,0,,
138,"Ổ cứng mình nhận không quay, mình đã thử mọi cách vẫn không tìm thấy thiết bị, kiểm tra thì đã ghim đủ nguồn và dữ liệu nhưng ổ cứng vẫn im re. mong sẽ được đổi ổ cứng khác.",0,,,
139,hàng giống mô tả nhưng không tư vấn trước khi gửi hàng thành ra nhầm hàng liên hệ đổi trả khó khăn thiếu uy tín,,0,,
140,"Không hài lòng vì sách vẫn bị dính trang với nhau, phải lấy dao rọc mới lật đọc được. Cảm giác như mua phải sách hàng nhái.",0,,,
141,"Kinh nghiệm thương đau đây:
1. Khi mở hàng, việc đầu tiên là nên so sánh kích thiết các bộ phận có đều nhau hay không, ko là bị so le (như hình, mình đã phải chêm 1 lớp giấy đệm để cân bằng) - bỏ thời gian lắp mệt xỉu lại phải tháo để đổi trả.
2. Lắp từ dưới lên, để hổng phần trên để khi gắn mấy bộ phận sau lên trên không bị khít quá mà khó gắn được. Vặn ốc đủ để cố định thôi, gắn đủ bộ phần rồi hãy xiết.

P/S: thực tết mẫu này rất tốt, nặng & chắc, giá gũng dễ chịu. Mỗi tội mình xui gặp phải hàng gia công bị lỗi nên hơi bực mình.",0,,,
142,"hộp rất lỏng lẻo , kg chắc chắn",0,,,
143,"Giao nhanh, sản phẩm ổn. Không có thông tin gì về chính sách bảo hành",1,0,1,
144,"Hàng giao nhanh ._x000D_
Lên mạng 30p đã nóng máy",0,,1,
145,Máy sử dụng đc chưa đến 1 tháng ko lên bảo hành sao vậy shop ?,,1,,
146,"Ở sài gòn giao xuống đồng nai mà mất tận 7 ngày lâu lắc lâu lơ, mua lazada shopee giao nhanh hơn nhiều bởi vậy xoá tiki đây bái bai",,,0,
147,"quá tệ, máy giao mà vỡ mà hình, đổi thì đến mấy ngày",0,,,
148,có hơi chậm tín hiệu kém và một số vấn đề,0,,,
149,"quá tệ, khăn quá mỏng và ko thấm nước",0,,,
150,Đã bón 3 tuần không thấy hiệu quả gì cả,0,,,
151,"Tôi mua bếp từ ngày 10/9. Bắt đầu sử dụng từ ngày 22/9. Đến hôm qua 31/10 đang nấu ăn thì thấy có mùi khét cháy, sợ quá tắt bếp luôn. Gọi lên tổng đài tiki báo bảo hành nhờ qua xem lại nhưng sau 1 ngày chưa thấy bạn nhân viên kỹ thuật nào qua xem đánh giá cho mình.",0,0,,
152,"chả gặp vấn đề gì.............,,.m.snsndndndndndn",1,,,
153,Tạm được,1,,,
154,"giao hàng siêu siêu chậm, nhắn tin thì nhân viên hỗ trợ bảo ko biết bao giờ giao, thề không bao giờ mua hàng tiki nữa",,0,0,
155,"Chổi về sạc pin không vô sao khi sài hết pin , không báo sạc pin luôn",0,,,
