id,title,content,rating
,Cực kì hài lòng,"kindle thì system luôn xịn, không nhưng. mua bản kid tưởng claim đc gói kid+ mà hoá ra chỉ có 1 số nước đc claim thôi nhưng cái chính là kindle đã cho người dùng đọc file epub và cái quan trọng hơn là đã được tự thêm font chữ rồi trời ơi sau bao năm dùng thử qua nhiều dòng máy đọc sách quay về kindle vẫn là chân ái. shop giao hàng hoả tốc 1 tiếng rưỡi là có. đóng gói kỹ. shipper thân thiện. đơn này sáu sao 🥹",5
,Cực kì hài lòng,"Hàng giao nhanh, gói cẩn thận. Bao da chính hãng đi kèm máy đẹp. Lưu ý bản for kids không sử dụng được ở thị trường Việt Nam.",5
,Cực kì hài lòng,"Ngoài mô tả thời tiết, ""cool"" còn có nghĩa là rất tốt, rất ngầu, sành điệu. Ví dụ, bạn có thể mô tả một bộ quần áo hay một buổi trình diễn của nhạc sĩ mà bạn yêu mến là ""cool"".

Nó cũng được dùng để bày tỏ sự chấp nhận khi ai đó đưa ra đề xuất. Chẳng hạn, nếu ai đó đề nghị gặp nhau để đi xem phim, bạn có thể",5
,Cực kì hài lòng,"Sản phẩm nguyên seal, bên trong hoàn hảo. Mình chỉ xin góp ý shop là nên gói hàng chắc chắn hơn. Máy đọc sách thuộc loại mỏng manh mà shop gói trong hộp quá to, không có đệm mà lại chỉ cho thêm 1 lớp bọc bong bóng. Bên vận chuyển giao cái hộp tới nhìn muốn khóc luôn á.",5
,Cực kì hài lòng,Tuyệt vời. Đã mua thêm bọc cho em nó.,5
,Cực kì hài lòng,"MĐS thứ 2 mua ở Tiki, lần này đóng gói có vẻ cẩn thận hơn, quấn chống sốc đầy đủ.
Máy dùng ổn, chưa phát hiện lỗi nào. Cầm nắm thì không bằng OS2 nhưng được 1 cái là có đèn vàng và pin cũng trâu hơn",5
,Cực kì hài lòng,"dùng tốt, nhà bán hàng tư vấn nhiệt tình",5
,Cực kì hài lòng,Sản phẩm đóng gói cẩn thận. Tặng kèm ốp rất okela. Unbox xong cover lại luôn,5
,Cực kì hài lòng,"Máy hàng chính hãng 100%, đi kèm phiếu bảo hành, HDSD đầy đủ chi tiết.
Đóng gói ổn.
Mua đúng lúc sale nên chỉ còn 3tr6, rẻ hơn so với mặt bằng chung. Đáng mua",5
,Cực kì hài lòng,"Máy siêu đẹp, êm, nhẹ tênh, lướt mượt",5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,"Không có ngôn ngữ tiếng việt
Hàng ổn",4
,Cực kì hài lòng,"Máy dùng rất thoải mái, ánh sáng tốt",5
,Cực kì hài lòng,Máy hoạt động tốt. Tuy hơi giựt nhưng do chưa quen mắt. Sau khi sử dụng thêm một thời gian mới có thể đánh giá thêm.,5
,Cực kì hài lòng,"Máy mới, giao từ HN vào SG rất nhanh, được shop tặng thêm bao da và sling grip điện thoại, cảm ơn shop.",5
,Cực kì hài lòng,Máy dùng ok ☺️☺️☺️☺️☺️☺️,5
,Cực kì hài lòng,"kindle thì system luôn xịn, không nhưng. mua bản kid tưởng claim đc gói kid+ mà hoá ra chỉ có 1 số nước đc claim thôi nhưng cái chính là kindle đã cho người dùng đọc file epub và cái quan trọng hơn là đã được tự thêm font chữ rồi trời ơi sau bao năm dùng thử qua nhiều dòng máy đọc sách quay về kindle vẫn là chân ái. shop giao hàng hoả tốc 1 tiếng rưỡi là có. đóng gói kỹ. shipper thân thiện. đơn này sáu sao 🥹",5
,Cực kì hài lòng,"Hàng giao nhanh, gói cẩn thận. Bao da chính hãng đi kèm máy đẹp. Lưu ý bản for kids không sử dụng được ở thị trường Việt Nam.",5
,Cực kì hài lòng,"Ngoài mô tả thời tiết, ""cool"" còn có nghĩa là rất tốt, rất ngầu, sành điệu. Ví dụ, bạn có thể mô tả một bộ quần áo hay một buổi trình diễn của nhạc sĩ mà bạn yêu mến là ""cool"".

Nó cũng được dùng để bày tỏ sự chấp nhận khi ai đó đưa ra đề xuất. Chẳng hạn, nếu ai đó đề nghị gặp nhau để đi xem phim, bạn có thể",5
,Cực kì hài lòng,"Sản phẩm nguyên seal, bên trong hoàn hảo. Mình chỉ xin góp ý shop là nên gói hàng chắc chắn hơn. Máy đọc sách thuộc loại mỏng manh mà shop gói trong hộp quá to, không có đệm mà lại chỉ cho thêm 1 lớp bọc bong bóng. Bên vận chuyển giao cái hộp tới nhìn muốn khóc luôn á.",5
,Cực kì hài lòng,Tuyệt vời. Đã mua thêm bọc cho em nó.,5
,Cực kì hài lòng,"MĐS thứ 2 mua ở Tiki, lần này đóng gói có vẻ cẩn thận hơn, quấn chống sốc đầy đủ.
Máy dùng ổn, chưa phát hiện lỗi nào. Cầm nắm thì không bằng OS2 nhưng được 1 cái là có đèn vàng và pin cũng trâu hơn",5
,Cực kì hài lòng,"dùng tốt, nhà bán hàng tư vấn nhiệt tình",5
,Cực kì hài lòng,Sản phẩm đóng gói cẩn thận. Tặng kèm ốp rất okela. Unbox xong cover lại luôn,5
,Cực kì hài lòng,"Máy hàng chính hãng 100%, đi kèm phiếu bảo hành, HDSD đầy đủ chi tiết.
Đóng gói ổn.
Mua đúng lúc sale nên chỉ còn 3tr6, rẻ hơn so với mặt bằng chung. Đáng mua",5
,Cực kì hài lòng,"Máy siêu đẹp, êm, nhẹ tênh, lướt mượt",5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,"Không có ngôn ngữ tiếng việt
Hàng ổn",4
,Cực kì hài lòng,"Máy dùng rất thoải mái, ánh sáng tốt",5
,Cực kì hài lòng,Máy hoạt động tốt. Tuy hơi giựt nhưng do chưa quen mắt. Sau khi sử dụng thêm một thời gian mới có thể đánh giá thêm.,5
,Cực kì hài lòng,"Máy mới, giao từ HN vào SG rất nhanh, được shop tặng thêm bao da và sling grip điện thoại, cảm ơn shop.",5
,Cực kì hài lòng,Máy dùng ok ☺️☺️☺️☺️☺️☺️,5
,Cực kì hài lòng,"Giao hàng nhanh, hàng nguyên seal, trải nghiệm máy rất tốt. Cám ơn shop.",5
,Cực kì hài lòng,"Chạy mượt, nhỏ, gọn, ánh sáng dịu k mỏi mắt. Ưng lun!",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"tốt, mê luôn",5
,Cực kì hài lòng,"Rõ nét, đủ dùng, dễ tập trung đọc nên hiệu quả tốt",5
,Cực kì hài lòng,Máy dùng oke. Cover hơi xấu,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Đẹp và tiện lợi. Đọc sách mọi lúc mọi nơi.,5
,Cực kì hài lòng,"máy tốt, hướng dẫn kỹ càng, chả phải thắc mắc gì, ai mua thì mua thêm cái ốp luôn",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"shop này bố của nhiệt tình, cụ của nhiệt tình. sư tổ của uy tín :)",5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Dùng thử 3 ngày và thấy ổn,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,Sản phẩm dùng ok,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,Ngon hơn con oasis3 đang dùng luôn,4
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Sp tốt,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,máy tốt giá tốt,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Giao hàng nhanh, máy tốt, pin sưt dụng lâu",5
,Cực kì hài lòng,dùng tốt đọc sách đỡ mỏi hơn nhiều.,5
,Cực kì hài lòng,"sản phẩm đẹp, đóng gói cẩn thận.",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Tốt,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Máy mới, chuẩn",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Ok,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,tot,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,máy nhập khẩu nguyên chiếc,5
,Cực kì hài lòng,"Đắn đo mãi ko biết nên mua bản refurbished ko, lúc nhận hàng mới thấy lo thừa vì nhìn mới toanh ko thấy vết trầy xước nào, chắc cũng hên. Các thao tác trên máy mượt hơn mình tưởng. Cover cũng ok nma để gần ngửi thấy mùi khá nồng hơi hôi. Thêm 1 cái nữa là ko biết máy mình bản gì vì ngoài hộp ghi signature nhưng info máy chỉ là bản thường, cũng ko thấy quảng cáo nên chắc là bản kids chăng? Khá lú:))",5
,Cực kì hài lòng,"Đây là lần đầu mình mua máy đọc sách Kindle và cũng là lần đầu mình mua hàng giá trị lớn trên Tiki, mình khá hài lòng. TikiNow giao nhanh, nhân viên thân thiện nhiệt tình. Gói hàng được bọc cẩn thận, có dán tem hàng dễ vỡ, máy đọc sách nguyên seal, bao da gắn kèm với máy luôn trong hộp. Đây là bản cho thị trường Nhật nhưng tính năng đầy đủ không khác bản thường. Từ lúc mua máy đọc sách, mình như trở lại thời trẻ thơ, thời còn say mê với những trang sách, thời gian dành cho Facebook, Youtube,... cũng giảm hẳn. Một sản phẩm đáng mua cho bất kỳ ai có mong muốn tốt hơn mỗi ngày.",5
,Cực kì hài lòng,"Cảm nhận đầu tiên của mình về máy đọc sách ppw5 này khá tốt, đang đọc điện thoại chuyển qua kindle thật chưa quen lắm, bao da bản kids ngọc lục bảo đẹp hơn mình nghĩ, rất có cảm xúc để có thể trên tay e nó cả ngày. Giao diện máy cơ bản dễ dùng cho ng mới, đèn nền, chữ to rõ nét, tông ấm dễ chịu..nói chung đáp ứng vừa đủ yêu cầu. Shop gửi hàng rất nhanh, đóng gói cẩn thận, trc mắt thì dùng ổn k thấy lỗi lầm j. Nói chung mình khá hài lòng về máy cũng như các b hỗ trợ bên shop. Thanks",5
,Cực kì hài lòng,"Shop đóng gói và gửi hàng nhanh. Đặt chiều hôm trước, sáng hôm sau đã nhận được. Máy đọc sách Kindle paperwhite 5 bản kid nên có 1 năm tài khoản truy nhập miễn phí kho sách và audible của Amazon kids, được kích hoạt ngay sau khi đăng nhập. Theo thông tin thì bản kid giống hệt bản cơ bản nhưng có thêm tài khoản truy cập kho Amazon kids 1 năm, có thêm Cover chính hãng cùng với 2 năm bảo hành của hãng. Cover chính hãng đã đóng sẵn cùng máy để trong hộp còn nguyên seal. Cả máy và cover hơn 300 g nên cầm khá nặng tay. Cover nhẵn nên tay có mồ hôi sẽ cảm giác hơi trơn. Mặc dù chỉ lớn hơn bản trước 0.8 inch, màn hình 6.8 inch cảm giác lớn hơn màn hình 6 inch nhiều. Máy đã hỗ trợ đọc file epub. Hy vọng chính sách bảo hành và hậu mãi của shop tốt.",5
,Cực kì hài lòng,"Fullbox nhìn đẹp, đóng gói tốt. Shop trả lời nhanh nhiệt tình. Mình kẹt đi nước ngoài không nhận được liên hệ tiki trước không thấy trả lời, liên hệ shop được liền. 5 sao",5
,Cực kì hài lòng,"Shop hỗ trợ nhiệt tình và nhanh chóng, đóng gói lại kĩ nữa nên nhận về hộp còn nguyên vẹn không rách móp. Máy còn nguyên seal.

Đơn vị vận chuyển nhanh, shipper nhiệt tình.",5
,Cực kì hài lòng,Hàng nguyên seal luôn. Mới tinh. Rất hài lòng!,5
,Cực kì hài lòng,"Giao hàng khá nhanh, mình nhờ nhận hộ nên chưa kiểm tra dc. Nếu chất lượng tốt lần sau sẽ ủng hộ shop tiếp ^^",5
,Cực kì hài lòng,Perrfect. 10 điểm.,5
,Cực kì hài lòng,"Máy trong hộp. Nguyên seal. Chưa mở ra, vì để tặng cho cháu nhân dịp sinh nhật, nhưng chắc chất lượng tốt, vì trong quá trình mua, shop tư vấn và phản hồi các câu hỏi chu đáo và đầy đủ",5
,Cực kì hài lòng,Shop ghi là giao ngay tại Hà Nội nhưng hàng được gửi từ TP. HCM nên chờ mất 3 ngày,5
,Cực kì hài lòng,"Hàng tốt, chưa thấy có lỗi gì",5
,Cực kì hài lòng,"Lần đầu mua máy, cảm giác đọc sướng lắm, giá tốt, máy quá đẹp, màn hình đọc k mỏi mắt. Mỗi tội máy có 1 chấm sáng nhỏ do lỗi màn hình nhưng nhìn chung nên mua.",5
,Cực kì hài lòng,"Bản của mình là bản có quảng cáo, nhờ hỗ trợ gỡ đi trong vài phút là xong, được tặng cả cover quá ưng luôn. Pin đọc 1 tháng không hết 😂",5
,Cực kì hài lòng,"Thật sự tiki ngày càng văn minh trong giao hàng, option giao 2h hoặc trong ngày rất ổn (compare with express nào đó), hàng đóng gói cẩn thận, kèm quick manual của shop, hài lòng",5
,Cực kì hài lòng,"Rất tuyệt, chữ rõ, đoc không mỏi mắt",5
,Hài lòng,Cơ bản hài lòng với sản phẩm! Phù hợp để đọc sách thay sách giấy. Tiki giao hàng nhanh?,4
,Cực kì hài lòng,Máy tốt. Kèm theo cover màu vàng rất xinh. Hàng nguyên seal.,5
,Cực kì hài lòng,"Sản phẩm SD tốt, shop cần chuẩn bị đủ ốp cho máy hơn nha",5
,Cực kì hài lòng,Mhơi xước nhẹ ở màn hình nhưng ko ảnh hưởng gì đến việc đọc. Máy hoạt động tốt,5
,Cực kì hài lòng,"Đắn đo mãi ko biết nên mua bản refurbished ko, lúc nhận hàng mới thấy lo thừa vì nhìn mới toanh ko thấy vết trầy xước nào, chắc cũng hên. Các thao tác trên máy mượt hơn mình tưởng. Cover cũng ok nma để gần ngửi thấy mùi khá nồng hơi hôi. Thêm 1 cái nữa là ko biết máy mình bản gì vì ngoài hộp ghi signature nhưng info máy chỉ là bản thường, cũng ko thấy quảng cáo nên chắc là bản kids chăng? Khá lú:))",5
,Cực kì hài lòng,"Đây là lần đầu mình mua máy đọc sách Kindle và cũng là lần đầu mình mua hàng giá trị lớn trên Tiki, mình khá hài lòng. TikiNow giao nhanh, nhân viên thân thiện nhiệt tình. Gói hàng được bọc cẩn thận, có dán tem hàng dễ vỡ, máy đọc sách nguyên seal, bao da gắn kèm với máy luôn trong hộp. Đây là bản cho thị trường Nhật nhưng tính năng đầy đủ không khác bản thường. Từ lúc mua máy đọc sách, mình như trở lại thời trẻ thơ, thời còn say mê với những trang sách, thời gian dành cho Facebook, Youtube,... cũng giảm hẳn. Một sản phẩm đáng mua cho bất kỳ ai có mong muốn tốt hơn mỗi ngày.",5
,Cực kì hài lòng,"Cảm nhận đầu tiên của mình về máy đọc sách ppw5 này khá tốt, đang đọc điện thoại chuyển qua kindle thật chưa quen lắm, bao da bản kids ngọc lục bảo đẹp hơn mình nghĩ, rất có cảm xúc để có thể trên tay e nó cả ngày. Giao diện máy cơ bản dễ dùng cho ng mới, đèn nền, chữ to rõ nét, tông ấm dễ chịu..nói chung đáp ứng vừa đủ yêu cầu. Shop gửi hàng rất nhanh, đóng gói cẩn thận, trc mắt thì dùng ổn k thấy lỗi lầm j. Nói chung mình khá hài lòng về máy cũng như các b hỗ trợ bên shop. Thanks",5
,Cực kì hài lòng,"Shop đóng gói và gửi hàng nhanh. Đặt chiều hôm trước, sáng hôm sau đã nhận được. Máy đọc sách Kindle paperwhite 5 bản kid nên có 1 năm tài khoản truy nhập miễn phí kho sách và audible của Amazon kids, được kích hoạt ngay sau khi đăng nhập. Theo thông tin thì bản kid giống hệt bản cơ bản nhưng có thêm tài khoản truy cập kho Amazon kids 1 năm, có thêm Cover chính hãng cùng với 2 năm bảo hành của hãng. Cover chính hãng đã đóng sẵn cùng máy để trong hộp còn nguyên seal. Cả máy và cover hơn 300 g nên cầm khá nặng tay. Cover nhẵn nên tay có mồ hôi sẽ cảm giác hơi trơn. Mặc dù chỉ lớn hơn bản trước 0.8 inch, màn hình 6.8 inch cảm giác lớn hơn màn hình 6 inch nhiều. Máy đã hỗ trợ đọc file epub. Hy vọng chính sách bảo hành và hậu mãi của shop tốt.",5
,Cực kì hài lòng,"Fullbox nhìn đẹp, đóng gói tốt. Shop trả lời nhanh nhiệt tình. Mình kẹt đi nước ngoài không nhận được liên hệ tiki trước không thấy trả lời, liên hệ shop được liền. 5 sao",5
,Cực kì hài lòng,"Shop hỗ trợ nhiệt tình và nhanh chóng, đóng gói lại kĩ nữa nên nhận về hộp còn nguyên vẹn không rách móp. Máy còn nguyên seal.

Đơn vị vận chuyển nhanh, shipper nhiệt tình.",5
,Cực kì hài lòng,Hàng nguyên seal luôn. Mới tinh. Rất hài lòng!,5
,Cực kì hài lòng,"Giao hàng khá nhanh, mình nhờ nhận hộ nên chưa kiểm tra dc. Nếu chất lượng tốt lần sau sẽ ủng hộ shop tiếp ^^",5
,Cực kì hài lòng,Perrfect. 10 điểm.,5
,Cực kì hài lòng,"Máy trong hộp. Nguyên seal. Chưa mở ra, vì để tặng cho cháu nhân dịp sinh nhật, nhưng chắc chất lượng tốt, vì trong quá trình mua, shop tư vấn và phản hồi các câu hỏi chu đáo và đầy đủ",5
,Cực kì hài lòng,Shop ghi là giao ngay tại Hà Nội nhưng hàng được gửi từ TP. HCM nên chờ mất 3 ngày,5
,Cực kì hài lòng,"Hàng tốt, chưa thấy có lỗi gì",5
,Cực kì hài lòng,"Lần đầu mua máy, cảm giác đọc sướng lắm, giá tốt, máy quá đẹp, màn hình đọc k mỏi mắt. Mỗi tội máy có 1 chấm sáng nhỏ do lỗi màn hình nhưng nhìn chung nên mua.",5
,Cực kì hài lòng,"Bản của mình là bản có quảng cáo, nhờ hỗ trợ gỡ đi trong vài phút là xong, được tặng cả cover quá ưng luôn. Pin đọc 1 tháng không hết 😂",5
,Cực kì hài lòng,"Thật sự tiki ngày càng văn minh trong giao hàng, option giao 2h hoặc trong ngày rất ổn (compare with express nào đó), hàng đóng gói cẩn thận, kèm quick manual của shop, hài lòng",5
,Cực kì hài lòng,"Rất tuyệt, chữ rõ, đoc không mỏi mắt",5
,Hài lòng,Cơ bản hài lòng với sản phẩm! Phù hợp để đọc sách thay sách giấy. Tiki giao hàng nhanh?,4
,Cực kì hài lòng,Máy tốt. Kèm theo cover màu vàng rất xinh. Hàng nguyên seal.,5
,Cực kì hài lòng,"Sản phẩm SD tốt, shop cần chuẩn bị đủ ốp cho máy hơn nha",5
,Cực kì hài lòng,Mhơi xước nhẹ ở màn hình nhưng ko ảnh hưởng gì đến việc đọc. Máy hoạt động tốt,5
,Cực kì hài lòng,Chữ rõ nét. Lâu hết pin. Rất đáng mua nếu chăm đọc,5
,Cực kì hài lòng,Giao hàng rất nhanh và thân thiện. Máy nguyên seal đúng mô tả. Cảm ơn shop!,5
,Cực kì hài lòng,"máy giao đúng thời gian, chất lượng tốt, nguyên seal",5
,Hài lòng,"Khá tốt, hạn chế duy nhất là sản phẩm chưa thân thiện lắm với người dùng.",4
,Hài lòng,Hình ảnh rõ nét! Đọc không mỏi mắt! Máy hơi chậm chút nhưng nhìn chung hài lòng! Shop giao hàng nhanh!,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Lần đầu mua hàng refurbished ko có box nên hơi bất ngờ, máy ok",5
,Cực kì hài lòng,"Giao hàng nhanh, bọc kĩ, không ướt dù trời mưa",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Lần đầu mua máy đọc sách. Cảm nhận khá là tốt.,5
,Cực kì hài lòng,"Đẹp, giao hàng nhanh",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Máy đọc sách đẹp, nguyên seal.
Giá thấp trên thị trường",5
,Cực kì hài lòng,Sản phẩm ok,5
,Cực kì hài lòng,Máy mới tinh. Pin rất tốt !,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Ok,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Ok,5
,Cực kì hài lòng,xứng đáng giá tiền,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Giao hàng nhanh, máy chuẩn",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Tốt,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Sản phẩm chất lượng,5
,Cực kì hài lòng,tốt,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,Good,5
,Cực kì hài lòng,shop hỗ trợ nhanh.,5
,Cực kì hài lòng,Máy ok,5
,Cực kì hài lòng,Sản phẩm chất lượng tốt!,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,ngon lành cành đào,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,"Hình ảnh xoay ngang đọc chữ to hơn, nhưng phần nội dung 1 trang sẽ chia thành 2 phần, phải nhấp 2 lần mới hết trang. Xoay dọc thì chữ đầy một trang sách nhưng đổi lại chữ khá nhỏ. Tốc độ phản hồi thì có phần chậm, ai xài MTB quen rồi thì sử dụng kindle phải làm quen với độ nhạy chuyển hình chậm này. Đăng nhập và chuyển tải file qua máy khá nhanh, đọc ban đêm rất ổn, dùng chung với bao da thì máy sẽ nặng hơn 1 tí, còn ko có bao thì siêu nhẹ, ko sợ mỏi tay khi cầm lâu.",5
,Cực kì hài lòng,"Quá ưng luôn. 
Nỗi đau khổ khi bị mất con kindle ppw4 đã mau chóng bay vèo khi nhận được em ppw5. 
Màn hình màu ấm rất tuyệt vời, máy màu denim cũng rất đẹp và sang. 
Shop gửi tặng cái ốp da màu Denim nữa, đỉnh  ghê. Cám ơn shop tinh tế",5
,Hài lòng,Rõ ràng mua Green mà gửi Denim về cho tui nhá. Ko thèm hoàn đơn nữa vì đã chờ con máy mấy ngày liền rồi. Buồn ghê luôn. Màu ko đc như ý. Nhg ko chấp với shop nheng. Máy xịn xò ko lỗi lầm gì đọc sáng cái con mắt. Cho 4* thui vì cố ts gửi màu khác. Chắc màu green hết rồi chứ gì. Tui bit ngay các shop khác cũng ko còn.,4
